locus_tag	ftype	length_bp	gene	EC_number	COG	product
DLIDFOLG_01180	CDS	543				hypothetical protein
DLIDFOLG_01181	CDS	495				hypothetical protein
DLIDFOLG_01182	CDS	714	bdcA_1		COG1028	Cyclic-di-GMP-binding biofilm dispersal mediator protein
DLIDFOLG_01183	CDS	594	bdcR			HTH-type transcriptional repressor BdcR
DLIDFOLG_01184	CDS	756	fabG_3	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
DLIDFOLG_01185	CDS	879	rhaS_2			HTH-type transcriptional activator RhaS
DLIDFOLG_01186	CDS	207				hypothetical protein
DLIDFOLG_01187	CDS	930				hypothetical protein
DLIDFOLG_01188	CDS	930	pgrR_2			HTH-type transcriptional regulator PgrR
DLIDFOLG_01189	CDS	924	nodD2_1			Nodulation protein D 2
DLIDFOLG_01190	CDS	867	ytnP	3.1.1.-	COG0491	putative quorum-quenching lactonase YtnP
DLIDFOLG_01191	CDS	900				hypothetical protein
DLIDFOLG_01192	CDS	549				hypothetical protein
DLIDFOLG_01193	CDS	1035		1.3.1.103		2-haloacrylate reductase
DLIDFOLG_01194	CDS	1176	dapL	2.6.1.83	COG0436	LL-diaminopimelate aminotransferase
DLIDFOLG_01195	CDS	807	metQ_2		COG1464	putative D-methionine-binding lipoprotein MetQ
DLIDFOLG_01196	CDS	1014	metN_2	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
DLIDFOLG_01197	CDS	669	metI_2		COG2011	D-methionine transport system permease protein MetI
DLIDFOLG_01198	CDS	1131	tyrB_1	2.6.1.57	COG1448	Aromatic-amino-acid aminotransferase
DLIDFOLG_01199	CDS	615				hypothetical protein
DLIDFOLG_01200	CDS	480	lrp_1		COG1522	Leucine-responsive regulatory protein
DLIDFOLG_01201	CDS	1380	aroP_1		COG1113	Aromatic amino acid transport protein AroP
DLIDFOLG_01202	CDS	750				hypothetical protein
DLIDFOLG_01203	CDS	195				hypothetical protein
DLIDFOLG_01204	CDS	1119	ydgJ_1	1.-.-.-	COG0673	putative oxidoreductase YdgJ
DLIDFOLG_01205	CDS	744	glpR_1		COG1349	Glycerol-3-phosphate regulon repressor
DLIDFOLG_01206	CDS	984	zntB_1		COG0598	Zinc transport protein ZntB
DLIDFOLG_01207	CDS	1374	dbpA	3.6.4.13	COG0513	ATP-dependent RNA helicase DbpA
DLIDFOLG_01208	CDS	936	ttcA	2.8.1.-	COG0037	tRNA-cytidine(32) 2-sulfurtransferase
DLIDFOLG_01209	CDS	435	uspF		COG0589	Universal stress protein F
DLIDFOLG_01210	CDS	213				hypothetical protein
DLIDFOLG_01211	CDS	1125	ompN_2		COG3203	Outer membrane porin N
DLIDFOLG_01212	CDS	567		1.2.7.1	COG0674	Pyruvate:ferredoxin oxidoreductase
DLIDFOLG_01213	CDS	444				hypothetical protein
DLIDFOLG_01214	CDS	885				hypothetical protein
DLIDFOLG_01215	CDS	324				hypothetical protein
DLIDFOLG_01216	CDS	915	thpA_1		COG1879	D-threitol-binding protein
DLIDFOLG_01217	CDS	330				hypothetical protein
DLIDFOLG_01218	CDS	1092	ychF		COG0012	Ribosome-binding ATPase YchF
DLIDFOLG_01219	CDS	585	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
DLIDFOLG_01220	CDS	276				hypothetical protein
DLIDFOLG_01221	CDS	1047				hypothetical protein
DLIDFOLG_01222	CDS	471				Tn3 family transposase ISShes11
DLIDFOLG_01223	CDS	378				hypothetical protein
DLIDFOLG_01224	CDS	504			COG1662	IS1 family transposase IS1R
DLIDFOLG_01225	CDS	243				hypothetical protein
DLIDFOLG_01226	CDS	2379				Tn3 family transposase TnAs1
DLIDFOLG_01227	CDS	996	xerC_1			Tyrosine recombinase XerC
DLIDFOLG_01228	CDS	498				IS1595 family transposase ISSsu9
DLIDFOLG_01229	CDS	780	ant1	2.7.7.47		Streptomycin 3''-adenylyltransferase
DLIDFOLG_01230	CDS	348	emrE		COG2076	Multidrug transporter EmrE
DLIDFOLG_01231	CDS	660	cat	2.3.1.28		Chloramphenicol acetyltransferase
DLIDFOLG_01232	CDS	276			COG1662	IS1 family transposase IS1D
DLIDFOLG_01233	CDS	378			COG1662	IS1 family transposase IS1R
DLIDFOLG_01234	CDS	378			COG1662	IS1 family transposase IS1X3
DLIDFOLG_01235	CDS	276			COG1662	IS1 family transposase IS1A
DLIDFOLG_01236	CDS	417				hypothetical protein
DLIDFOLG_01237	CDS	366				hypothetical protein
DLIDFOLG_01238	CDS	432	umuD_1	3.4.21.-	COG1974	Protein UmuD
DLIDFOLG_01239	CDS	1272	umuC_1		COG0389	Protein UmuC
DLIDFOLG_01240	CDS	975	virB		COG1475	Virulence regulon transcriptional activator VirB
DLIDFOLG_01241	CDS	1206	parA			Plasmid partition protein A
DLIDFOLG_01242	CDS	867				hypothetical protein
DLIDFOLG_01243	CDS	258				hypothetical protein
DLIDFOLG_01244	CDS	777	xerC_2			Tyrosine recombinase XerC
DLIDFOLG_01245	CDS	744				hypothetical protein
DLIDFOLG_01246	CDS	351				hypothetical protein
DLIDFOLG_01247	CDS	231				hypothetical protein
DLIDFOLG_01248	CDS	417	vapC_1	3.1.-.-	COG1487	tRNA(fMet)-specific endonuclease VapC
DLIDFOLG_01249	CDS	285				IS3 family transposase ISEc15
DLIDFOLG_01250	CDS	804				IS3 family transposase ISEc15
DLIDFOLG_01251	CDS	888	lon_1	3.4.21.53		Lon protease
DLIDFOLG_01252	CDS	420				IS3 family transposase ISYps8
DLIDFOLG_01253	CDS	624				hypothetical protein
DLIDFOLG_01254	CDS	303				hypothetical protein
DLIDFOLG_01255	CDS	1548	pdeG_2	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeG
DLIDFOLG_01256	CDS	909	benM_1			HTH-type transcriptional regulator BenM
DLIDFOLG_01257	CDS	1341	ttuB_1			Putative tartrate transporter
DLIDFOLG_01258	CDS	3087	acrF_2		COG0841	Multidrug export protein AcrF
DLIDFOLG_01259	CDS	1170	mdtE			Multidrug resistance protein MdtE
DLIDFOLG_01260	CDS	1173	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
DLIDFOLG_01261	CDS	699	arlR		COG0745	Response regulator ArlR
DLIDFOLG_01262	CDS	783				hypothetical protein
DLIDFOLG_01263	CDS	93				hypothetical protein
DLIDFOLG_01264	CDS	1509	pdeB_3	3.1.4.52	COG4943	putative cyclic di-GMP phosphodiesterase PdeB
DLIDFOLG_01265	CDS	426				hypothetical protein
DLIDFOLG_01266	CDS	765	surE_1	3.1.3.5	COG0496	5'-nucleotidase SurE
DLIDFOLG_01267	CDS	990	vldW_1	1.14.11.52		Validamycin A dioxygenase
DLIDFOLG_01268	CDS	1419		3.5.4.11		Isoxanthopterin deaminase
DLIDFOLG_01269	CDS	990	ribY		COG0715	Riboflavin-binding protein RibY
DLIDFOLG_01270	CDS	900	hdfR_1			HTH-type transcriptional regulator HdfR
DLIDFOLG_01271	CDS	969	yeaX_1	1.14.13.239	COG1018	Carnitine monooxygenase reductase subunit
DLIDFOLG_01272	CDS	1284	codAch2	3.5.4.11	COG0402	Pterin deaminase
DLIDFOLG_01273	CDS	480	rutC_1	1.-.-.-		Putative aminoacrylate peracid reductase RutC
DLIDFOLG_01274	CDS	654				hypothetical protein
DLIDFOLG_01275	CDS	408	ksdD_1	1.3.99.4	COG1053	3-oxosteroid 1-dehydrogenase
DLIDFOLG_01276	CDS	321				hypothetical protein
DLIDFOLG_01277	CDS	1677	kstD	1.3.99.4	COG1053	3-oxosteroid 1-dehydrogenase
DLIDFOLG_01278	CDS	822	ydiB_1	1.1.1.282	COG0169	Quinate/shikimate dehydrogenase
DLIDFOLG_01279	CDS	759	pcaR_1		COG1414	Pca regulon regulatory protein
DLIDFOLG_01280	CDS	333				hypothetical protein
DLIDFOLG_01281	CDS	888	cyoE	2.5.1.141	COG0109	Protoheme IX farnesyltransferase
DLIDFOLG_01282	CDS	330	cyoD		COG3125	Cytochrome bo(3) ubiquinol oxidase subunit 4
DLIDFOLG_01283	CDS	612	cyoC		COG1845	Cytochrome bo(3) ubiquinol oxidase subunit 3
DLIDFOLG_01284	CDS	1992	cyoB	7.1.1.3	COG0843	Cytochrome bo(3) ubiquinol oxidase subunit 1
DLIDFOLG_01285	CDS	945	cyoA		COG1622	Cytochrome bo(3) ubiquinol oxidase subunit 2
DLIDFOLG_01286	CDS	1476	ampG		COG0477	Anhydromuropeptide permease
DLIDFOLG_01287	CDS	579				hypothetical protein
DLIDFOLG_01288	CDS	315	bolA		COG0271	DNA-binding transcriptional regulator BolA
DLIDFOLG_01289	CDS	1299	tig	5.2.1.8	COG0544	Trigger factor
DLIDFOLG_01290	CDS	624	clpP_1	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
DLIDFOLG_01291	CDS	1275	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
DLIDFOLG_01292	CDS	2355	lon_2	3.4.21.53	COG0466	Lon protease
DLIDFOLG_01293	CDS	273	hupB		COG0776	DNA-binding protein HU-beta
DLIDFOLG_01294	CDS	1875	ppiD	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase D
DLIDFOLG_01295	CDS	369			COG1555	putative protein
DLIDFOLG_01296	CDS	402	fadM	3.1.2.-	COG0824	Long-chain acyl-CoA thioesterase FadM
DLIDFOLG_01297	CDS	702	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
DLIDFOLG_01298	CDS	1701	sgrR_1		COG4533	HTH-type transcriptional regulator SgrR
DLIDFOLG_01299	CDS	819	cof	3.6.1.-	COG0561	HMP-PP phosphatase
DLIDFOLG_01300	CDS	1053	sbnA	2.5.1.140		N-(2-amino-2-carboxyethyl)-L-glutamate synthase
DLIDFOLG_01301	CDS	459	decR		COG1522	DNA-binding transcriptional activator DecR
DLIDFOLG_01302	CDS	1773	yheI	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
DLIDFOLG_01303	CDS	1779	mdlB	7.6.2.2	COG1132	Multidrug resistance-like ATP-binding protein MdlB
DLIDFOLG_01304	CDS	339	glnK		COG0347	Nitrogen regulatory protein P-II 2
DLIDFOLG_01305	CDS	1287	amtB			Ammonia channel
DLIDFOLG_01306	CDS	864	tesB	3.1.2.-	COG1946	Acyl-CoA thioesterase 2
DLIDFOLG_01307	CDS	492	ybaY		COG3126	putative lipoprotein YbaY
DLIDFOLG_01308	CDS	438	atl		COG3695	DNA base-flipping protein
DLIDFOLG_01309	CDS	408				hypothetical protein
DLIDFOLG_01310	CDS	258				hypothetical protein
DLIDFOLG_01311	CDS	216				hypothetical protein
DLIDFOLG_01312	CDS	777				hypothetical protein
DLIDFOLG_01313	CDS	810	iolB	5.3.1.30	COG3718	5-deoxy-glucuronate isomerase
DLIDFOLG_01314	CDS	1506	bauC	1.2.1.-	COG1012	Putative 3-oxopropanoate dehydrogenase
DLIDFOLG_01315	CDS	822	iolI	5.3.99.11	COG1082	Inosose isomerase
DLIDFOLG_01316	CDS	1503				hypothetical protein
DLIDFOLG_01317	CDS	1083	lptG		COG0795	Lipopolysaccharide export system permease protein LptG
DLIDFOLG_01318	CDS	1098	lptF		COG0795	Lipopolysaccharide export system permease protein LptF
DLIDFOLG_01319	CDS	1512	pepA	3.4.11.1	COG0260	Cytosol aminopeptidase
DLIDFOLG_01320	CDS	444	holC	2.7.7.7	COG2927	DNA polymerase III subunit chi
DLIDFOLG_01321	CDS	2856	valS	6.1.1.9	COG0525	Valine--tRNA ligase
DLIDFOLG_01322	CDS	504				hypothetical protein
DLIDFOLG_01323	CDS	765				hypothetical protein
DLIDFOLG_01324	CDS	423	rraB		COG3076	Regulator of ribonuclease activity B
DLIDFOLG_01325	CDS	1005	argI	2.1.3.3	COG0078	Ornithine carbamoyltransferase subunit I
DLIDFOLG_01326	CDS	453	tabA		COG2731	Toxin-antitoxin biofilm protein TabA
DLIDFOLG_01327	CDS	936	pyrB	2.1.3.2	COG0540	Aspartate carbamoyltransferase catalytic subunit
DLIDFOLG_01328	CDS	462	pyrI		COG1781	Aspartate carbamoyltransferase regulatory chain
DLIDFOLG_01329	CDS	387	ridA_2	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
DLIDFOLG_01330	CDS	2709	mgtA	7.2.2.14	COG0474	Magnesium-transporting ATPase, P-type 1
DLIDFOLG_01331	CDS	948	treR		COG1609	HTH-type transcriptional regulator TreR
DLIDFOLG_01332	CDS	1419	treB		COG1263	PTS system trehalose-specific EIIBC component
DLIDFOLG_01333	CDS	1656	treC	3.2.1.93	COG0366	Trehalose-6-phosphate hydrolase
DLIDFOLG_01334	CDS	1353	licC_1		COG1455	Lichenan permease IIC component
DLIDFOLG_01335	CDS	1308	licH_2	3.2.1.86	COG1486	putative 6-phospho-beta-glucosidase
DLIDFOLG_01336	CDS	309	celA_1	2.7.1.205		PTS system cellobiose-specific EIIB component
DLIDFOLG_01337	CDS	744	hexR_1		COG1737	HTH-type transcriptional regulator HexR
DLIDFOLG_01338	CDS	2139	nrdD	1.1.98.6	COG1328	Anaerobic ribonucleoside-triphosphate reductase
DLIDFOLG_01339	CDS	465	nrdG	1.97.1.-	COG0602	Anaerobic ribonucleoside-triphosphate reductase-activating protein
DLIDFOLG_01340	CDS	285	relE	3.1.-.-	COG2026	mRNA interferase toxin RelE
DLIDFOLG_01341	CDS	243	relB		COG3077	Antitoxin RelB
DLIDFOLG_01342	CDS	1911	licR		COG1762	putative licABCH operon regulator
DLIDFOLG_01343	CDS	1155	pgl_1	3.1.1.31	COG2706	6-phosphogluconolactonase
DLIDFOLG_01344	CDS	741	dgaF	4.1.2.14		2-dehydro-3-deoxy-phosphogluconate aldolase
DLIDFOLG_01345	CDS	1119	dgaE	4.3.1.29		D-glucosaminate-6-phosphate ammonia lyase
DLIDFOLG_01346	CDS	1134		3.1.1.-	COG3964	Deacetylase
DLIDFOLG_01347	CDS	645				hypothetical protein
DLIDFOLG_01348	CDS	777				hypothetical protein
DLIDFOLG_01349	CDS	300				hypothetical protein
DLIDFOLG_01350	CDS	363				hypothetical protein
DLIDFOLG_01351	CDS	339				hypothetical protein
DLIDFOLG_01352	CDS	387	cybC		COG3783	Soluble cytochrome b562
DLIDFOLG_01353	CDS	1341	pmbA	3.4.-.-	COG0312	Metalloprotease PmbA
DLIDFOLG_01354	CDS	552				hypothetical protein
DLIDFOLG_01355	CDS	1209				hypothetical protein
DLIDFOLG_01356	CDS	528				hypothetical protein
DLIDFOLG_01357	CDS	1374	mpl	6.3.2.45	COG0773	UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptandioate ligase
DLIDFOLG_01358	CDS	999	fbp	3.1.3.11	COG0158	Fructose-1,6-bisphosphatase class 1
DLIDFOLG_01359	CDS	975	yjfF			Inner membrane ABC transporter permease protein YjfF
DLIDFOLG_01360	CDS	1026	ytfT			Inner membrane ABC transporter permease protein YtfT
DLIDFOLG_01361	CDS	1503	fruK	7.5.2.-	COG1129	Fructose import ATP-binding protein FruK
DLIDFOLG_01362	CDS	957	ytfQ_2			ABC transporter periplasmic-binding protein YtfQ
DLIDFOLG_01363	CDS	531	ppa_1	3.6.1.1	COG0221	Inorganic pyrophosphatase
DLIDFOLG_01364	CDS	201				hypothetical protein
DLIDFOLG_01365	CDS	345	ytfP		COG2105	Gamma-glutamylcyclotransferase family protein ytfP
DLIDFOLG_01366	CDS	3777	tamB		COG2911	Translocation and assembly module subunit TamB
DLIDFOLG_01367	CDS	1734	tamA		COG0729	Translocation and assembly module subunit TamA
DLIDFOLG_01368	CDS	639	msrA	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
DLIDFOLG_01369	CDS	1338				hypothetical protein
DLIDFOLG_01370	CDS	1233	rafB_1			Raffinose permease
DLIDFOLG_01371	CDS	2010	bgaA	3.2.1.23	COG1874	Beta-galactosidase BgaA
DLIDFOLG_01372	CDS	873	araC_1			Arabinose operon regulatory protein
DLIDFOLG_01373	CDS	207				hypothetical protein
DLIDFOLG_01374	CDS	558	ytfJ		COG3054	putative protein YtfJ
DLIDFOLG_01375	CDS	744	cysQ	3.1.3.7	COG1218	3'(2'),5'-bisphosphate nucleotidase CysQ
DLIDFOLG_01376	CDS	1944	cpdB	3.1.3.6	COG0737	2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase
DLIDFOLG_01377	CDS	372				hypothetical protein
DLIDFOLG_01378	CDS	351				hypothetical protein
DLIDFOLG_01379	CDS	1317	hscA		COG0443	Chaperone protein HscA
DLIDFOLG_01380	CDS	336	fdx		COG0633	2Fe-2S ferredoxin
DLIDFOLG_01381	CDS	201	iscX		COG2975	Protein IscX
DLIDFOLG_01382	CDS	1287	pepB	3.4.11.23	COG0260	Peptidase B
DLIDFOLG_01383	CDS	777				hypothetical protein
DLIDFOLG_01384	CDS	843				hypothetical protein
DLIDFOLG_01385	CDS	858	sseA	2.8.1.2	COG2897	3-mercaptopyruvate sulfurtransferase
DLIDFOLG_01386	CDS	4950	yfhM		COG2373	Alpha-2-macroglobulin
DLIDFOLG_01387	CDS	1248	cbiD	2.1.1.195	COG1903	Cobalt-precorrin-5B C(1)-methyltransferase
DLIDFOLG_01388	CDS	606	cbiE	2.1.1.289	COG2241	Cobalt-precorrin-7 C(5)-methyltransferase
DLIDFOLG_01389	CDS	315	cbiT	2.1.1.196	COG2242	Cobalt-precorrin-6B C(15)-methyltransferase (decarboxylating)
DLIDFOLG_01390	CDS	774	cbiF	2.1.1.271	COG2875	Cobalt-precorrin-4 C(11)-methyltransferase
DLIDFOLG_01391	CDS	207				hypothetical protein
DLIDFOLG_01392	rRNA	111				5S ribosomal RNA
DLIDFOLG_01393	CDS	507	mobB		COG1763	Molybdopterin-guanine dinucleotide biosynthesis adapter protein
DLIDFOLG_01394	CDS	582	mobA	2.7.7.77	COG0746	Molybdenum cofactor guanylyltransferase
DLIDFOLG_01395	CDS	270	yihD		COG3084	Protein YihD
DLIDFOLG_01396	CDS	987	srkA	2.7.11.1	COG2334	Stress response kinase A
DLIDFOLG_01397	CDS	624	dsbA_2		COG0526	Thiol:disulfide interchange protein DsbA
DLIDFOLG_01398	CDS	900	yihG	2.3.-.-	COG0204	putative acyltransferase YihG
DLIDFOLG_01399	CDS	2793	polA	2.7.7.7	COG0258	DNA polymerase I
DLIDFOLG_01400	CDS	633	engB		COG0218	putative GTP-binding protein EngB
DLIDFOLG_01401	CDS	507	yihI		COG3078	Der GTPase-activating protein YihI
DLIDFOLG_01402	CDS	1374	hemN	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase
DLIDFOLG_01403	CDS	111	yshB			putative protein YshB
DLIDFOLG_01404	CDS	1410	ntrC		COG2204	DNA-binding transcriptional regulator NtrC
DLIDFOLG_01405	CDS	1050	glnL	2.7.13.3	COG3852	Sensory histidine kinase/phosphatase NtrB
DLIDFOLG_01406	CDS	1410	glnA	6.3.1.2	COG0174	Glutamine synthetase
DLIDFOLG_01407	CDS	1824	typA		COG1217	GTP-binding protein TypA/BipA
DLIDFOLG_01408	CDS	600	yihX	3.1.3.10	COG1011	Alpha-D-glucose 1-phosphate phosphatase YihX
DLIDFOLG_01409	CDS	861				hypothetical protein
DLIDFOLG_01410	CDS	438	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
DLIDFOLG_01411	CDS	942				hypothetical protein
DLIDFOLG_01412	CDS	918	nlhH	3.1.1.1	COG0657	Carboxylesterase NlhH
DLIDFOLG_01413	CDS	249				hypothetical protein
DLIDFOLG_01414	CDS	384	vapC_2	3.1.-.-		tRNA(fMet)-specific endonuclease VapC
DLIDFOLG_01415	CDS	930	fdhE		COG3058	Protein FdhE
DLIDFOLG_01416	CDS	636	fdoI		COG2864	Formate dehydrogenase, cytochrome b556(fdo) subunit
DLIDFOLG_01417	CDS	903	fdoH		COG0437	Formate dehydrogenase-O iron-sulfur subunit
DLIDFOLG_01418	CDS	2415	fdoG_1	1.17.1.9	COG0243	Formate dehydrogenase-O major subunit
DLIDFOLG_01419	CDS	588	fdoG_2	1.17.1.9	COG0243	Formate dehydrogenase-O major subunit
DLIDFOLG_01420	CDS	837	fdhD		COG1526	Sulfur carrier protein FdhD
DLIDFOLG_01421	CDS	213				hypothetical protein
DLIDFOLG_01422	CDS	324				hypothetical protein
DLIDFOLG_01423	CDS	702				hypothetical protein
DLIDFOLG_01424	CDS	549	sutR_1		COG1396	HTH-type transcriptional regulator SutR
DLIDFOLG_01425	CDS	996	rafR			HTH-type transcriptional regulator RafR
DLIDFOLG_01426	CDS	2124	rafA	3.2.1.22		Alpha-galactosidase
DLIDFOLG_01427	CDS	1266	melY			Melibiose permease
DLIDFOLG_01428	CDS	315	rhaM	5.1.3.32	COG3254	L-rhamnose mutarotase
DLIDFOLG_01429	CDS	1149	adhB	1.1.1.1		Alcohol dehydrogenase 2
DLIDFOLG_01430	CDS	1005	lsrD_1			Autoinducer 2 import system permease protein LsrD
DLIDFOLG_01431	CDS	1008	rbsC_4		COG1172	Ribose import permease protein RbsC
DLIDFOLG_01432	CDS	1512	rbsA_3	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
DLIDFOLG_01433	CDS	987	lsrB_1			Autoinducer 2-binding protein LsrB
DLIDFOLG_01434	CDS	831	rhaD	4.1.2.19	COG0235	Rhamnulose-1-phosphate aldolase
DLIDFOLG_01435	CDS	1260	rhaA	5.3.1.14	COG4806	L-rhamnose isomerase
DLIDFOLG_01436	CDS	204	rhaB	2.7.1.5		Rhamnulokinase
DLIDFOLG_01437	CDS	498	ompA_1			Outer membrane protein A
DLIDFOLG_01438	CDS	2487				hypothetical protein
DLIDFOLG_01439	CDS	210				hypothetical protein
DLIDFOLG_01440	CDS	327	rsmF	2.1.1.178	COG0144	Ribosomal RNA small subunit methyltransferase F
DLIDFOLG_01441	CDS	240	yebV			putative protein YebV
DLIDFOLG_01442	CDS	192				hypothetical protein
DLIDFOLG_01443	CDS	654	pphA	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 1
DLIDFOLG_01444	CDS	1011			COG2990	putative protein
DLIDFOLG_01445	CDS	339				hypothetical protein
DLIDFOLG_01446	CDS	870	yebZ		COG1276	Inner membrane protein YebZ
DLIDFOLG_01447	CDS	375	yobA		COG2372	Protein YobA
DLIDFOLG_01448	CDS	231	holE	2.7.7.7		DNA polymerase III subunit theta
DLIDFOLG_01449	CDS	660	exoX	3.1.11.-	COG0847	Exodeoxyribonuclease 10
DLIDFOLG_01450	CDS	2028	ptrB	3.4.21.83	COG1770	Protease 2
DLIDFOLG_01451	CDS	660	yebE		COG2979	Inner membrane protein YebE
DLIDFOLG_01452	CDS	348				hypothetical protein
DLIDFOLG_01453	CDS	597				hypothetical protein
DLIDFOLG_01454	CDS	363	zntA	3.6.3.3	COG2217	Zinc/cadmium/lead-transporting P-type ATPase
DLIDFOLG_01455	CDS	246	tusA		COG0425	Sulfur carrier protein TusA
DLIDFOLG_01456	CDS	666	yhhQ		COG1738	Queuosine precursor transporter
DLIDFOLG_01457	CDS	558				hypothetical protein
DLIDFOLG_01458	CDS	1221	yhhS_1			putative MFS-type transporter YhhS
DLIDFOLG_01459	CDS	1050	yhhT_2		COG0628	Putative transport protein YhhT
DLIDFOLG_01460	CDS	381	arnF		COG0697	putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF
DLIDFOLG_01461	CDS	339	arnE		COG0697	putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE
DLIDFOLG_01462	CDS	1656	arnT	2.4.2.43	COG1807	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
DLIDFOLG_01463	CDS	903	arnD	3.5.1.-	COG0726	putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD
DLIDFOLG_01464	CDS	1986	arnA		COG0223	Bifunctional polymyxin resistance protein ArnA
DLIDFOLG_01465	CDS	984	arnC	2.4.2.53	COG0463	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
DLIDFOLG_01466	CDS	1140	arnB	2.6.1.87	COG0399	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
DLIDFOLG_01467	CDS	507	padC	4.1.1.102	COG3479	Phenolic acid decarboxylase PadC
DLIDFOLG_01468	CDS	861	allS			HTH-type transcriptional activator AllS
DLIDFOLG_01469	CDS	1569	nikA		COG0747	Nickel-binding periplasmic protein
DLIDFOLG_01470	CDS	945	nikB		COG0601	Nickel transport system permease protein NikB
DLIDFOLG_01471	CDS	834	nikC		COG1173	Nickel transport system permease protein NikC
DLIDFOLG_01472	CDS	765	nikD	7.2.2.11		Nickel import ATP-binding protein NikD
DLIDFOLG_01473	CDS	792	nikE	7.2.2.11		Nickel import ATP-binding protein NikE
DLIDFOLG_01474	CDS	399	nikR		COG0864	Nickel-responsive regulator
DLIDFOLG_01475	CDS	186				hypothetical protein
DLIDFOLG_01476	CDS	576			COG2239	Magnesium transporter MgtE
DLIDFOLG_01477	CDS	567			COG2081	putative protein
DLIDFOLG_01478	CDS	1122	hipO_1	3.5.1.32	COG1473	Hippurate hydrolase
DLIDFOLG_01479	CDS	1200	ycaD_1			putative MFS-type transporter YcaD
DLIDFOLG_01480	CDS	435				hypothetical protein
DLIDFOLG_01481	CDS	1233	mdtM_1			Multidrug resistance protein MdtM
DLIDFOLG_01482	CDS	393				hypothetical protein
DLIDFOLG_01483	CDS	615				hypothetical protein
DLIDFOLG_01484	CDS	723	glnQ_2			Glutamine transport ATP-binding protein GlnQ
DLIDFOLG_01485	CDS	765	artQ_2		COG0765	Arginine transport system permease protein ArtQ
DLIDFOLG_01486	CDS	768	glnH_1		COG0834	Glutamine-binding periplasmic protein
DLIDFOLG_01487	CDS	903				hypothetical protein
DLIDFOLG_01488	CDS	954				hypothetical protein
DLIDFOLG_01489	CDS	351	yfhA		COG0609	putative siderophore transport system permease protein YfhA
DLIDFOLG_01490	CDS	714	dsbC		COG1651	Thiol:disulfide interchange protein DsbC
DLIDFOLG_01491	CDS	897	xerD_1		COG4974	Tyrosine recombinase XerD
DLIDFOLG_01492	CDS	522	fldB		COG0716	Flavodoxin 2
DLIDFOLG_01493	CDS	411	ygfX			Inner membrane protein YgfX
DLIDFOLG_01494	CDS	267	sdhE		COG2938	FAD assembly factor SdhE
DLIDFOLG_01495	CDS	984	ygfZ		COG0354	tRNA-modifying protein YgfZ
DLIDFOLG_01496	CDS	660				hypothetical protein
DLIDFOLG_01497	CDS	312				hypothetical protein
DLIDFOLG_01498	CDS	729	glvR		COG1737	HTH-type transcriptional regulator GlvR
DLIDFOLG_01499	CDS	1434	bglA_2	3.2.1.86	COG2723	6-phospho-beta-glucosidase BglA
DLIDFOLG_01500	CDS	360				hypothetical protein
DLIDFOLG_01501	CDS	2010	dsbD_2	1.8.1.8		Thiol:disulfide interchange protein DsbD
DLIDFOLG_01502	CDS	612				hypothetical protein
DLIDFOLG_01503	CDS	504	resA_2			Thiol-disulfide oxidoreductase ResA
DLIDFOLG_01504	CDS	744	ygfF	1.-.-.-		putative oxidoreductase YgfF
DLIDFOLG_01505	CDS	2874	gcvP	1.4.4.2	COG0403	Glycine dehydrogenase (decarboxylating)
DLIDFOLG_01506	CDS	390	gcvH		COG0509	Glycine cleavage system H protein
DLIDFOLG_01507	CDS	1095	gcvT	2.1.2.10	COG0404	Aminomethyltransferase
DLIDFOLG_01508	CDS	1203	ubiI	1.14.13.240	COG0654	2-octaprenylphenol hydroxylase
DLIDFOLG_01509	CDS	1179	ubiH	1.14.13.-	COG0654	2-octaprenyl-6-methoxyphenol hydroxylase
